,ts_code,symbol,name,area,industry,fullname,enname,cnspell,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
2577,301115.SZ,301115,建科股份,江苏,建筑工程,常州市建筑科学研究院集团股份有限公司,"Changzhou Architectural Research Institute Group Co.,Ltd",jkgf,创业板,SZSE,CNY,L,20220831,,N
2578,301116.SZ,301116,益客食品,江苏,食品,江苏益客食品集团股份有限公司,"Jiangsu Yike Food Group Co.,Ltd",yksp,创业板,SZSE,CNY,L,20220118,,S
2579,301117.SZ,301117,佳缘科技,四川,软件服务,佳缘科技股份有限公司,"Jiayuan Science and Technology Co.,Ltd.",jykj,创业板,SZSE,CNY,L,20220117,,S
2580,301118.SZ,301118,恒光股份,湖南,化工原料,湖南恒光科技股份有限公司,"Hunan Hengguang Technology Co., Ltd.",hggf,创业板,SZSE,CNY,L,20211118,,N
2581,301119.SZ,301119,正强股份,浙江,汽车配件,杭州正强传动股份有限公司,Hangzhou Zhengqiang Corporation Limited,zqgf,创业板,SZSE,CNY,L,20211122,,N
2582,301120.SZ,301120,新特电气,北京,电气设备,新华都特种电气股份有限公司,"Newonder Special Electric Co.,Ltd",xtdq,创业板,SZSE,CNY,L,20220419,,S
2583,301121.SZ,301121,紫建电子,重庆,电气设备,重庆市紫建电子股份有限公司,"Chongqing VDL Electronics Co., Ltd.",zjdz,创业板,SZSE,CNY,L,20220808,,N
2584,301122.SZ,301122,采纳股份,江苏,医疗保健,采纳科技股份有限公司,"Caina Technology Co., Ltd.",cngf,创业板,SZSE,CNY,L,20220126,,S
2585,301123.SZ,301123,奕东电子,广东,元器件,奕东电子科技股份有限公司,"Yd Electronic Technology Co.,Ltd.",yddz,创业板,SZSE,CNY,L,20220125,,S
2586,301125.SZ,301125,腾亚精工,江苏,机械基件,南京腾亚精工科技股份有限公司,"Nanjing Toua Hardware&Tools Co.,Ltd.",tyjg,创业板,SZSE,CNY,L,20220608,,N
2587,301126.SZ,301126,达嘉维康,湖南,医药商业,湖南达嘉维康医药产业股份有限公司,"Hunan Dajiaweikang Pharmaceutical Industry Co.,Ltd",djwk,创业板,SZSE,CNY,L,20211207,,N
2588,301127.SZ,301127,天源环保,湖北,环境保护,武汉天源环保股份有限公司,"Wuhan Tianyuan Environmental Protection Co.,Ltd.",tyhb,创业板,SZSE,CNY,L,20211230,,N
2589,301128.SZ,301128,强瑞技术,深圳,专用机械,深圳市强瑞精密技术股份有限公司,"Shenzhen Qiangrui Precision Technology Co., Ltd.",qrjs,创业板,SZSE,CNY,L,20211110,,N
2590,301129.SZ,301129,瑞纳智能,安徽,电器仪表,瑞纳智能设备股份有限公司,"Runa Smart Equipment Co.,Ltd.",rnzn,创业板,SZSE,CNY,L,20211102,,S
2591,301130.SZ,301130,西点药业,吉林,化学制药,吉林省西点药业科技发展股份有限公司,"Jilin Province Xidian Pharmaceutical Sci-Tech Development Co.,Ltd.",xdyy,创业板,SZSE,CNY,L,20220223,,N
2592,301131.SZ,301131,聚赛龙,广东,塑料,广州市聚赛龙工程塑料股份有限公司,"Super-Dragon Engineering Plastics Co., Ltd",jsl,创业板,SZSE,CNY,L,20220314,,N
2593,301132.SZ,301132,满坤科技,江西,元器件,吉安满坤科技股份有限公司,"Ji’An Mankun Technology Co.,Ltd.",mkkj,创业板,SZSE,CNY,L,20220810,,N
